MsgID.STATE,1520429622.4273419,False,False
MsgID.LOCAL_POSITION,1520429627.5213943,0.0000129,0.0003208,0.0536517
MsgID.LOCAL_VELOCITY,1520429627.5213943,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520429627.7675493,-121.9939365,37.4137407,-0.0670000
MsgID.LOCAL_VELOCITY,1520429627.7675493,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520429627.7695544,0.0004915,0.0000000,0.0671445
MsgID.LOCAL_VELOCITY,1520429627.7695544,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520429628.0182157,-121.9939365,37.4137416,-0.0680000
MsgID.LOCAL_VELOCITY,1520429628.0182157,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520429628.0207226,0.1073089,-0.0069125,0.0688030
MsgID.LOCAL_VELOCITY,1520429628.0207226,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520429628.2688828,-121.9939370,37.4137418,-0.0580000
MsgID.LOCAL_VELOCITY,1520429628.2688828,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520429628.2708879,0.1240081,-0.0497222,0.0583059
MsgID.LOCAL_VELOCITY,1520429628.2708879,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1520429628.5155392,False,False
MsgID.GLOBAL_HOME,1520429628.5180457,-121.9939365,37.4137407,0.0000000
MsgID.GLOBAL_POSITION,1520429628.5200512,-121.9939363,37.4137404,-0.0350000
MsgID.LOCAL_VELOCITY,1520429628.5200512,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520429628.5225577,-0.0318525,0.0185333,0.0350817
MsgID.LOCAL_VELOCITY,1520429628.5225577,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520429628.7697155,-121.9939367,37.4137406,-0.0080000
MsgID.LOCAL_VELOCITY,1520429628.7697155,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520429628.7717206,-0.0058272,-0.0181918,0.0086706
MsgID.LOCAL_VELOCITY,1520429628.7717206,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520429629.0178757,-121.9939382,37.4137409,0.0220000
MsgID.LOCAL_VELOCITY,1520429629.0178757,0.0000000,0.0000000,0.0000000
